TITLE,COUNTRY,BODY,Website Link
"Ghana Headed in Wrong Direction, Says 54 Percent of Northern Region Voters",ghana,"A special poll conducted by Global Info Analytics in five districts of the Northern Region has revealed a disconnect between voters and the ruling government. Released on July 26, 2024, the poll surveyed voters in Gushegu, Karaga, Mion, Tolon, and Zabzugu with a total sample of 2,280. According to the report, more than half of eligible voters in these districts believe Ghana is headed in the wrong direction with about 35% thinking it's on the right path. ""A special poll conducted in Gushegu, Karaga, Mion, Tolon and Zabzugu in the Northern region shows 54% of voters believe Ghana is headed in the wrong direction, 35% believe it is headed in the right direction and 11% did not have an opinion,"" an excerpt of the report said. It further added that 40% of voters in the Northern Region report a decline in their living standards over the past year. ""40% of voters say their living standard has worsened compared to a year ago while 30% say it has improved and 28% say it is unchanged. 2% did not have an opinion,"" it added. Furthermore, the poll indicated a 54% disapproval rating of President Akufo-Addo's job performance. About 40% of the participants, however, were satisfied with his performance. The report's timing is significant, coinciding with the National Democratic Congress' Northern Region campaign launch on July 27, 2024, as the party aims to solidify its hold on this important region.",https://theaccratimes.com/ghana-headed-in-wrong-direction-says-54-of-northern-region-voters/
30 Midwives Undergo Training in Mother-to-Child Hepatitis B Transmission,ghana,"More than 30 midwives in the Ga Central Municipal Health Directorate on Friday received training in mother-to-child Hepatitis B transmission, organised by the Municipal Health Directorate and the Member of Parliament (MP) for Anyaa Sowutuom Constituency, Dr Dickson Adomako Kissi. The midwives, coming from about 15 facilities in the Ga Central Municipal Health Directorate, were trained in the mother-to-child transmission prevention, causes, early vaccination and data management and reporting. The Municipal Director of Health Services, Dr Edwina Appiah, said the training formed part of efforts to create awareness about the Hepatitis B Virus (HBV) infection ahead of its commemoration which falls on July 28. She said it was also to enhance the midwives' knowledge and improve their attitudes and practices towards Hepatitis B infection and its vaccination. She said Hepatitis B was a viral infection that affects the liver and could cause both acute and chronic infection, which may be detected within 30-60 days after infection. According to her, studies showed that in Ghana the prevalence rate of the HBV was estimated at 13 per cent, with females being the most infected. ""This makes it alarming and it is important individuals gets vaccinated, wash their hands thoroughly with soap and water after any potential exposure to blood and use condoms with sexual partners,"" she added. Dr Appiah indicated that the mother-to-child transmission of hepatitis B infection remained a major public health concern, particularly in Ghana, and adequate knowledge of physicians and midwives was crucial in averting most of the hepatitis B viral transmissions from mothers to their newborns. However, there seems to be a gap in knowledge of some physicians and midwives in Ghana in spite of the increasing incidence of hepatitis B infection in the country. ""This is why through the Member of Parliament, this workshop has been organised to enhance their knowledge on the disease and its causes for proper intervention,"" she added. The Health Director urged pregnant women to seek early vaccination to prevent their new babies from being infected. The Municipal Health Information Officer, Naomi offei, in a presentation on data management and reporting, said documentation and reporting of service data was very important and must be done using the appropriate tools. Get the latest in African news delivered straight to your inbox By submitting above, you agree to  . Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. There was a problem processing your submission. Please try again later. She said accurate recording, capturing and reporting was required to adequately monitor performance, the progress and effectiveness of interventions, adding that discrepancies in medical data capturing and reporting could have grave consequences. She encouraged facility Heads and Units in charge to ensure that all documentations and reports were done accurately using the appropriate laid-down methods and submitted on time. As part of the training, the MP, Dr Adomako Kissi, committed to assisting 20 pregnant women with HBV cases at various facilities within the municipality that could not afford the Hep B vaccine (immunoglobulin). In addition, he provided Personal Protective Equipment (PPE), including surgical gowns, gloves and test kits, to aid the midwives in the discharge of their duties. He, thus, pledged to lead the charge to ensure that government absorbed the treatment of Hep B, especially pregnant women, to lessen their plight since the vaccine (immunoglobulin) was expensive.",https://ghanaiantimes.com.gh/30-midwives-undergo-training-in-mother-to-child-hepatitis-b-transmission/
Supreme Court Upholds Colonial-Era Anti-LGBT Law,ghana,"Nairobi —  The supreme court of   on July 24, 2024,   a   that criminalizes adult consensual same-sex conduct, contrary to Ghana's human rights obligations, Human Rights Watch said today. The judgment comes at a time when the country is engulfed in a debate over a   law which would take persecution of sexual and gender minorities and their allies even further. ""Ghana's supreme court unfortunately upheld the British colonial legacy of criminalizing so-called 'unnatural sex,""' said  , interim lesbian, gay, bisexual, and transgender (LGBT) rights director at Human Rights Watch. ""The law had been challenged on the grounds that it violated the constitutionally protected rights to privacy and personal liberties, rights that everyone has under international law as well, and regardless of their sexual orientation."" Ghana's constitution ensures respect for human dignity, protection of personal liberty, and the right to privacy for all. Yet,  , and   in recent years with debates about the bill. Prince Obiri-Korang, a law lecturer at the University of Ghana, initiated the suit to overturn the law. Under section 104(1)(b) of   1960 (Act 29), inherited from the British colonial law, ""whoever has unnatural carnal knowledge[...]of a person sixteen years or older, with his consent, is guilty of a misdemeanor."" Unnatural carnal knowledge is defined in section 104(1)(2) as ""sexual intercourse with a person in an unnatural manner or with an animal."" According to the supreme court judges, ""unnatural manner"" also includes the use of sex toys. With this ruling, the court has expanded the interpretation of Section 104(1)(b), apparently adopting language from the anti-LGBT   which specifically prohibits a person, in clause four, from engaging in any acts that undermine the proper human sexual rights and Ghanaian family values. In 2017, while Human Rights Watch was researching the impact of this law, Jones Blantari, chief superintendent of Ghana's police force,  , ""the term unnatural carnal knowledge is vague, does not have any clear meaning in law, creates difficulties in consistent interpretation and its application is used to target LGBT people."" The bill carries heavier criminal penalties for same-sex activities, increasing the maximum penalty from three years to five years in prison, and expands the possibility of extending criminal charges against anyone who identifies as LGBT, queer, pansexual, and any other non-conventional gender identity as well as allies to these communities. It would also punish anyone providing support, funding, or public advocacy for sexual and gender minorities rights. Get the latest in African news delivered straight to your inbox By submitting above, you agree to  . Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. There was a problem processing your submission. Please try again later. Members of parliament introduced the bill in 2021. In addition to expanding the possibility of criminal charges against those advocating for LGBT rights, the bill allows for criminal charges against anyone who uses social media platforms to produce, publish, or disseminate content promoting activities prohibited by the bill. Significant figures in Ghana publicly opposed the bill, including the Roman Catholic Cardinal of Ghana  , and a former member of parliament and major political party chair  Nkrumah   to veto the anti-LGBT bill,   ""brutal, harsh, and unjust."" Nkrumah's father, the late Kwame Nkrumah, is a key figure in African and Ghanaian history. In the 1950s and 1960s, he led the independence movement and served as the country's first president and prime minister. Ghana's parliament passed the   in February 2024, and it remains with President Nana Akufo Addo, awaiting his signature. ""Ghana's supreme court missed its opportunity to rid the country of its   of egregious colonial-era laws,"" Younes said. ""The court's failure to uphold basic rights for LGBT people only further emphasizes why the president should veto the new bill.""",https://www.hrw.org/news/2024/07/29/ghana-supreme-court-upholds-colonial-era-anti-lgbt-law
"Vote for Change, Mahama Urges Ghanaians As He Launches Campaign",ghana,"FLAGBEARER of the National Democratic Congress, John Dramani Mahama, has charged Ghanaians to vote to change the trajectory of the country in December because the country is headed in the wrong direction. Citing the latest Afrobarometer democracy risk report which says 87 per cent of Ghanaians thought the country was headed in the wrong direction, former President Mahama said the NPP government which has led Ghana into what he considers crisis can't be trusted to fix the problem. ""Ghana is at an important juncture in its history and the decision we make on December 7 is going to reflect on the future of this country. ""If you are going in the wrong direction, you change your course and that is why on December 7, Ghana must change course. We cannot solve the crisis in which we are with the same people who caused the crisis in the first place. The time has come for us to make a change,"" the former President said at the NDC's national campaign launch here in Tamale on Saturday. Related Articles The launch which brought thousands of NDC supporters from across the country was on the theme, 'Change to Reset Ghana.' According to the NDC leader, an experienced hand was needed to steer the country from the economic quagmire it finds itself and as a former President, he possesses that required competences to reset Ghana on the path of progress and prosperity. ""The youth of this country want an experienced safe pair of hands, a hand that they have seen do it before to come back and take this country and rescue us from the mess in which we have been dumped by the Akufo-Addo- Bawumia government,"" he said to loud cheers from the gathering. The former President said the situation appears worse than the picture being painted by the government and that it would take a lot of hard work and he alone could not do it without the support and cooperation of every citizen. Having been out of government for almost eight years, former President Mahama said he did his best though things were not perfect, the country made progress under his watch. If given the nod again, Mr Mahama promise that ""I will be truthful to you and will never tell you lies. I won't tell you things that I can't do."" Ghana's problem, he identified, has been the focus on short term policies to win elections and in the process not creating the foundation for the economy to take off. ""My pledge to you is that we will work hard, day and night to make sure that we reset the fortunes of this country."" Get the latest in African news delivered straight to your inbox By submitting above, you agree to  . Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. There was a problem processing your submission. Please try again later. Dismissing the spin by his political opponents that he has only one four year term to serve as President, Mr Mahama said four years of a good leader would make more positive impact than eight years of a dishonest leader stressing that ""it is not about how long you serve but how well you serve."" Professor Naana Jane Opoku- Agyemang, the running mate for the NDC, revealed that one million women were earmarked to get credit from the yet-to-be established Women's Development Bank to make stress-free credit available to them to undertake their businesses. She said the opposition party remained committed to the establishment of the bank to advance soft loans to the women to economically empower them. The contribution of women to the socio-economic wellbeing of the country, Prof. Opoku- Agyemang said could not be overstated. ""We are the ones who take care of the children and the home. We are the ones who ensure that everybody is at peace and when there is peace at home, there is peace in the community and in the country. ""So this bank is to serve the interest of women and ensure that we can reach as many women as possible. The bank will operate by looking at the amount of money the woman needs and we have targeted one million women to benefit from the soft credit,"" she explained.",https://ghanaiantimes.com.gh/election-2024-vote-for-change-mahama-charges-ghanaians-as-he-launches-campaign/
"2nd Phase Uhas Project - Biggest Nursing, Midwifery Sch Opens ...As President Receives Honorary Doctorate Degree",ghana,"President Nana Addo Dankwa Akufo-Addo yesterday inaugurated the biggest School of Nursing and Midwifery in West Africa, on the campuses of the University of Health and Allied Sciences (UHAS) at Sokode-Lokoe in the Ho Municipality of the Volta Region. The school which constituted the second phase of the establishment of UHAS was constructed with a $60million loan facility from the Chinese Government. It has a central administration block, lecture theatres, recovery rooms, intensive care unit, a delivery ward and a holding bay among others and has the capacity to enrol more than 5000 students. President Akufo-Addo as part of his commitment towards the development of UHAS and seeing it develop into a fully-fledged specialised institution in 2021 cut sod for the commencement of the construction of the project and took 36 months to complete. In a related development the University has conferred an honorary Doctorate degree of Science on President Akufo-Addo for his interest in the development of the University. The conferment which took place at a special congregation organised by the University Council coincided with the inauguration of the new facility. A citation in honour of the President said his special interest in the development of UHAS was noticeable and visible for the whole world to see. The Council Chair of the UHAS, Justice Jones Dotse (retired), said the honour done to the President was in appreciation of the role the president played in the China Phase II project. He said the President cut the sod for the beginning of the project and work completed even before the end of his tenure. He said the China Phase II project was the biggest in West Africa and would help increase students intake and satisfied the Universal Development Goal (UDG) four which aimed at providing access to quality education for all. Justice Dotse said UHAS was grateful to the government of Ghana and China for the successful completion of the project, adding that the University was committed to producing world class graduates who would be able to meet world standard of quality health delivery across the globe. The former Justice of the Supreme Court said through the introduction of the free SHS, students whose parents could not send them to school had been able to do so. The Vice Chancellor of UHAS, Professor Lydia Aziator, on her part said the university had since 2016 graduated 8,915 individuals in all disciplines of healthcare provision and were performing creditably in providing healthcare to the people. While expressing her profound gratitude to the President for seeing through the commencement and completion of the facility, she also appealed to him to help complete a laboratory project for the school. She noted that when completed it would become the largest institutional laboratory in West Africa. Prossesor Aziator announced that last year, the University received 13,000 applications but was able to admit only 10, 000 due to lack of infrastructure. She said the University needed financial clearance for additional 450 lecturers because of the new programmes it would be introducing and more hostels to accommodate students. The Vice Chancellor also appealed to the President to construct internal roads of the University, and provide vehicles particularly pick-up vehicles for UHAS to promote administrative work. Get the latest in African news delivered straight to your inbox By submitting above, you agree to  . Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. There was a problem processing your submission. Please try again later. President Akufo-Addo thanked the University for the honour done him, stressing that ""the honour is a testament of the achievement of his administration"". He said he had received similar honours from both public and private universities in and outside the country for providing quality leadership in all sectors of the economy. The President said education was the key to promote rapid development particularly science, adding that free SHS had removed financial problems parents faced in sending their wards to school. He said 5.7 million youth had benefitted from free SHS and stressed that SHS was not only about increasing enrolment but also ensured quality education. President Akufo-Addo said his government had built 126 science laboratories in SHSs across the country with the objective of producing scientists in the future.",https://ghanaiantimes.com.gh/2nd-phase-uhas-project-biggest-nursing-midwifery-sch-opens-as-president-receives-honorary-doctorate-degree/
Speaker Apologises Over Withdrawn Road Traffic L.I. On MPs Use of Sirens,ghana,"The Speaker of Parliament, Alban Bagbin, has publicly apologized after a proposed Legislative Instrument (L.I.) which sought to exempt MPs, and Ministers from traffic congestion was withdrawn two weeks ago after a public outcry. ""Following the oppositions, firm stance against the L.I, the government has decided to withdraw the proposed amendments...We recognise the public perception of insensitivity and I am here to offer an apology and assure the Ghanaian people that this parliament remains acutely aware of and responsive to their needs,"" Bagbin said when Parliamentary proceedings began today. House Speaker Bagbin while addressing a public concern on the the now withdrawn road traffic LI has apologised to Ghanaians for the ""insensitivity"" displayed by the political class when it first introduced the said LI to allow MPs, JSCs to use sirens in the streets.  -- Odekro (@odekro)  The proposed legislation had it been approved would have amended the Road Traffic regulations, allowing MPs, Ministers, and judges to use sirens in traffic and drive without speed limits. Some MPs had tried to justify the move, but the public fought back in opposition. Just like Ghanaians got MPs to 'Drop that Chamber' in July 2019, we must force them to 'Suspend the Siren Bill.'If you have official duties, plan your itinerary and leave home early. In Europe, some MPs use bicycles.Hon. MP, you're a public servant, NOT an Arabian monarch!!!-- Mirpuri (@InterBoyTM)",https://theaccratimes.com/speaker-apologises-over-withdrawn-road-traffic-l-i-on-mps-use-of-sirens/
Henley Passport Index - Ghana Scores 75th Globally - Disintegration On the Continent Responsible for Africa's Performance,ghana,"The Henley Passport Index, released annually, evaluates passports according to the number of visa-free travel destinations available to holders. Although the U.S. passport remains a powerful travel document, it has dropped in the rankings for the second consecutive year in 2024, marking a decade-long decline from its top spot in 2014. This means, that while the U.S. passport offers access to 186 destinations, other countries surpass it in travel freedom. Singapore comes first, granting its citizens unparalleled access to 195 visa-free destinations. A second tier is European and Asian nations France, Germany, Italy, Japan, and Spain - closely following, with 192 visa-free destinations. In third place is a cluster of countries, including Austria, Finland, and Sweden, offering 191 visa-free destinations. At the same time, the fourth group, comprising the U.K., Belgium, and others, provides access to 190 destinations. Ghana has made notable strides in passport power, jumping from 80th to 72nd place globally. This also means passport holders can enjoy unrestricted access to 68 countries across Africa and the Caribbean, a testament to the country's growing international mobility and influence. Get the latest in African news delivered straight to your inbox By submitting above, you agree to  . Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. There was a problem processing your submission. Please try again later. International relations Dr. Ismael Hlovor, suggests the current passport rankings expose the lack of cohesion among African nations. He posits that greater regional integration would significantly improve Africa's performance in such indexes. ""The strange thing about Africa is that, in as much as the whole of Africa we could actually waive visas for all of us and that would shoot up all of our scoring and everybody will have about fifty-something nations where you could go visa-free,"" He said. Dr. Hlovor debunked the assumption that a country must be a superpower to have a strong passport, instead emphasizing the importance of diplomatic negotiations, citizen cooperation, and addressing the issue of African youth exploiting visa-free travel opportunities in developed nations, which can lead to migration and potential misuse. ""It's a matter of negotiation, it's a matter of other countries reciprocating your visa waivers,"" he added. The Henley Passport Index is regarded as the definitive ranking system, categorizing global passports based on the number of visa-free destinations accessible to their holders. This esteemed index relies on data from the International Air Transport Association (IATA), the most comprehensive and precise travel database, and is enhanced by Henley & Partners' expert research team.",https://theaccratimes.com/henley-passport-index-ghana-scores-75th-globally-disintegration-on-the-continent-responsible-for-africas-performance/
Two Persons Who Allegedly Burgled John Kuma's Widow Refused Bail,ghana,"The Accra Circuit Court Two on Friday refused bail to two persons who allegedly stole money, electrical gadgets, and others from John Kumah's widow. Adams Sanogo, trader, and Kwame Dunga, at large, allegedly conspired to steal $50,000, GH¢50,000.00, iPhone 15 Pro Max cellular phone valued at GH¢15,000.00 from Reverend Lillian Kumah, widow of Mr Kumah, former Deputy Minister of Finance and Member of Parliament for Ejisu. They are also believed to have stolen her Apple iPad valued GH¢15,000.00, Samsung Z fold mobile phone valued at GH¢12,000.00, Microsoft laptop valued GH¢7,000.00, black school bag valued GH¢400.00 and an Apple watch which value is unknown. Rabiu Falilu, a Senior High School (SHS) leaver, is also accused of dishonestly receiving some of the stolen items. The accused persons, who were arrested in the Ashanti Region and handed over to the Police in Accra, have denied the crime and were remanded into police custody to assist in the investigation and the arrest of one Kwame Dunga, their alleged accomplice, who is on the run. The Court presided over by Mr Isaac Addo declined the grant of bail as prayed by Mr Benjamin Ofori, accused persons' counsel, with the reason that the case is sensitive and would not serve the interest of society. They will be brought back on August 7, 2024. Assistant Superintendent of Police (ASP) Mr Raymond Ackom, said Reverend Lillian Kumah, the complainant was the widow of Mr Kumah, a resident of Achimota-Mile 7, Accra. Sanogo is a mobile phone dealer at Adum-PZ and resident of Kokoso, all suburbs of Kumasi whilst Falilu, was a resident of Jamasi in the Ashanti region. He said on December 29, 2023, an unknown person, gained access to the place of abode of Reverend Kumah and stole her personal belongings, including an iPhone 15 Pro Max mobile phone valued at GH¢15,000.00, Samsung Z fold mobile phone valued at GH¢12,000.00, Apple iPad valued GH¢15,000.00, Microsoft laptop valued at GH¢7,000.00, Black school bag valued at GH¢400.00, Apple watch value yet to be known as well as cash of GH¢50,000.00 and $50,000 USD. The Prosecution said she made a formal complaint to the Police, furnishing the police with Closed Circuit Television (CCTV) video footage of the incident. On July 24, 2024, Police investigation led to the arrest of Falilu, who was in possession of the complainant's iPhone 15 Pro max mobile phone at Jamasi in the Ashanti region, the Court was told. Get the latest in African news delivered straight to your inbox By submitting above, you agree to  . Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. There was a problem processing your submission. Please try again later. The Prosecution said on his arrest, he led Police to Adum PZ, Kumasi, where Sanogo was also arrested, and during interrogation, Sanogo admitted selling the phone to Falilu. He further mentioned Dunga, another mobile phone dealer at Adum PZ, who is currently at large as his accomplice, the Court heard. The Prosecution said Sanogo and Falilu were cautioned, charged for the offence and put before the court, meanwhile, efforts were underway to arrest Dunga. In praying for bail, Mr Ofori said Sanogo and Falilu had fixed places of abode, not flight risk, and had people of substance to stand as sureties for them as well as assisted and still willing to assist the Police in their investigations. He said Sanogo was a middleman who bought a phone from Kwame whilst Falilu, he said was just an SHS leaver who led the Police to Sanogo, the one he got the phone from. The Prosecution opposed to the bail application and said if the accused persons were released, they would interfere with investigations, and would not appear to stand trial, being on the run since 2023 as the Police deployed intelligent officers to the Ashanti Region who arrested them only two days ago.",https://theaccratimes.com/two-persons-who-allegedly-burgled-john-kumas-widow-refused-bail/
Gt. Accra Region Crowned 14th Korean Ambassador's Cup Taekwondo Champions,ghana,"The Greater Accra Region emerged winners of the 14th edition of the Korea Cup taekwondo championship held at the Trust Emporium in Accra on Saturday. They won nine gold medals, eight silver and 12 bronze medals to garner 185 points ahead of Volta region in second place with four gold, two silver and two bronze medals to record 72 points and Ashanti region in third with four gold, two silver and two bronze medals with 68 points. The Upper East, Northern, Eastern, Bono, Upper West, Western and Central Regions followed from fourth to 10th in that order. In the individual championships, Leon Selasi Addo from the Upper East region won gold in the -48kg while Val-Editorian Kpadey Elikem from the Volta region won silver. Volta region's Omar Abdoulbachid emerged gold winner in the -73kg and was followed by the Northern regional duo of Mohammed Hudu in second and Kamil Shaibou in third position. The honours in the +73kg category was shared by Northern region's Abdul Latif Alidu (gold), Issah Mohammed from Eastern Region (silver) and BrongAhafo Region's Mohammed Jebril (bronze). Volta Region's Meussa Abdulkanissou and Hassane Mohammed won the gold and bronze medals to sandwich Upper West pride, Bilal Ide who won bronze in the -63kg event while the honours in the female version were swept Gbastatin Phridoos (gold) and Sahara Boubacar (Silver). Ishmael Halidu from the Volta Region emerged gold medal winner in the -55kg division followed by Umar Ahmed and Al MawuyiIssa, both from the Northern Region with silver and bronze, respectively. Ghastatin Phridoos and Sahara Boubacar emerged gold and silver medalists respectively in the junior female -63kg division while Greater Accra Region's Anita Marboli and Mary Ampofua swept the gold and silver medals -55kg category with Abutiate Bridget from Upper West winning bronze. Manuel Kwesi Martey from Ashanti region won gold in the -45kg division and followed by Isaac Addo from Upper East with silver and EloloHonku from Greater Accra Region with bronze. The -37kg male cadet category had Yusuf Zilkifu from Upper West as winner, Nurudeen Sadu from Northern region as silver medalist and Razak Asheek from Upper East as bronze medalist. Otinel Cronwell from the Western Region was crowned winner in the male cadet -53kg category and followed by Prince Bostrotsy from Greater Accra with silver and Derick Ahiakonu from Ashanti with bronze medal. Jessica Mensah from the Brong Ahafo Region emerged the gold medal winner in the +59kg weight class ahead of the Eastern region duo of Emefa Klenam Djandjoe (silver) and Nana K.K Johnson, for silver and bronze, respectively. Get the latest in African news delivered straight to your inbox By submitting above, you agree to  . Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. There was a problem processing your submission. Please try again later. In the female cadet categories, Mawuena Bosrotsy, Mira Afeonoko and Setorme Tornyevah led a clean sweep for the Greater Accra Region but the -55kg division was won by Mariam Abdul-Majid, Melissa Esi Abban and Jenny Blankson Gyasi. Sitta Tornyevah and Michelle Afeonoko won gold and silver in the female cadet -47kg event which bronze medal went to Halona Rowe with KlenamAgbenyawu, Nana Ama Kesewa Darkwa and Anna Ileme Amett came up tops in the female cadet -41kg group. In the junior male individual poomsea, Greater Accra Region's duo, James Sedo and Prince Bosrotsy won gold and silver while Paa Kojo Obeng Yirenkyi grabbed bronze while Bridget Agbenyawu, Sitta Tornyevah and Paa Plandge Issabela swept top honours in the junior female individual poomsea. The cadet male individual poomsea had Russel Da-Rocha, Yusuf Zilkifu and Nurudeen Sadu win gold, silver and bronze medals just as Setorme Tornyevah, Mawuenam Bosrotsy and Mina Afeonoko won in the cadet female individual pomsea. The event attracted top officials including the Korean Ambassador to Ghana, Mr Park Kyongsig, the Ghana Taekwondo Federation (GTF) President, Mr Frederick Lartey Otu and other executives and taekwondo enthusiasts.",https://ghanaiantimes.com.gh/gt-accra-region-crowned-14th-korean-ambassadors-cup-taekwondo-champions/
"GRA Destroys Gh¢9.2m Expired Goods, Marijuana in Ho",ghana,"The Ho Sector Customs Division of the Ghana Revenue Authority (GRA) has destroyed 274 bags of various expired goods and marijuana worth GH¢9.2 million at Akrofu in the Ho Municipality of the Volta Region. The confiscated items, which comprised of coffee, cigarettes, and cosmetics, were seized at different border posts in the Ho Collection area of the Customs Division of the GRA. The Commander of the Ho Sector Collection, Assistant Commissioner (AC) Mrs Felicia Adoboe-Azuma, who briefed journalists here on Friday, explained that the marijuana were compressed in slaps concealed in fertiliser sacks in an attempt to outwit the security personnel at the border posts. ""But such tricks did not work as the security men started searching, the smugglers bolted into the bush abandoning their goods and trucks behind,adding that the situation did not allow the security to arrest the suspects,"" she said. AC Adoboe-Azuma cautioned residents participating in smuggling operations to cease their illegal actions, as they would face legal consequences upon apprehension. She also stated that the security forces in the region would continue their vigorous efforts to eliminate individuals involved in illicit activities across borders within the Ho collection area. .AC Adoboe-Azuma urged sister security services to collaborate in tackling criminal activities, especially in apprehending smugglers. She also emphasised the importance of security leaders resisting bribery attempts from smugglers. Additionally, she expressed her organisation's willingness to work with other security agencies to effectively combat smuggling",https://ghanaiantimes.com.gh/gra-destroys-gh%C2%A29-2m-expired-goods-marijuana-in-ho/
Map Inducts Wilfred Neneh-Addico As New Partner,ghana,"Makers and Partners (MAP), an audit firm, has announced the induction of Wilfred Neneh-Addico as its new advisory partner. This move comes as part of the firm's strategic expansion plans and commitment to providing top-notch services to its clients. Mr Alfred Aryee, a partner at MAP, in an interview with the  , stated, ""We are thrilled to welcome Wilfred Neneh-Addico to our team, his extensive experience and proven track record make him the perfect fit to lead our advisory services and drive growth for our client."" He said makers and partners is known for its commitment to excellence and client satisfaction, adding that the firm's team of experts is dedicated to providing innovative solutions and personalised service to help clients succeed in today's competitive business environment. ""With Wilfred Neneh-Addico at the helm of the advisory team, Makers and Partners is poised to further enhance its reputation as a trusted financial advice. His leadership and strategic vision will help the firm continue to deliver exceptional results for clients across a wide range of industries,"" he added. Commenting on his appointment, Neneh-Addico expressed gratitude to God for the opportunity, to the existing partners for believing in the value he brings to the partnership and to his family for their continuous support over the years. He said the firm is poised to assist businesses to develop their ESG strategy, integrate same into their operations, report and make appropriate disclosures which meet international standards like Global Reporting Initiatives (GRI), UN Global Compact (UNGC) Principles and Carbon Disclosure Project (CDP) to identify, assess, and manage their ESG related risks that could impact their reputation, financial performance, and operating licence. Get the latest in African news delivered straight to your inbox By submitting above, you agree to  . Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. There was a problem processing your submission. Please try again later. He revealed that this year, MAP is building capacity in ESG and Carbon trading, and the firm is in partnership with Ecoveda Climate in India to collaborate in delivering ESG and Carbon trading advisory service to government, businesses and communities in Ghana and the rest of Africa. This, he said, would enable them acquire the requisite skills to be able to effectively provide solutions in carbon trading in areas of project development, verification and validation and assist clients in trading in carbon credits on the Ghana Carbon Market. ""We decided to go this path because, today, ESG is the drive to ensure businesses becomes responsible by caring for the environment and communities in which they operate and remain sustainable by building structures and processes which ensures efficiency in the use of resources and still profitable,"" he stated. His admission, which took effect from July 8, 2024, as Partner in charge of Governance and Risk Advisory Services, and will lead MAP's Environmental, Social and Governance (ESG), Forensic Investigations, Carbon Trading, Cybersecurity and Technology Audits service lines.",https://ghanaiantimes.com.gh/map-inducts-wilfred-neneh-addico-as-new-partner/
"Borteyman Land Dispute - Family Asks Court to Imprison Capt Koda, 2 Others",ghana,"The Ashale Botwe Family have filed a suit before High Court in Accra (Land Division 8) asking the court to imprison Captain Edmund Kojo Koda and two others for contempt of court. The family, being represented by Nii Afutu Kotey Gbomase II, initiated the instant action against Captain Koda, Eugene Sowah Odamtey and Hares Muda for allegedly bringing the administration of justice into disrepute in an ongoing land litigation case before the court. It is the case of Nii Gbomase II, the applicant that in the year 2000, the High Court, Accra, delivered a judgement in a land dispute in favour of Eugene Sowah and others-parte motion filed on Friday July 26, 2024 contends that the respondents needed to follow legal processes to before they took possession of the land. Related Articles The land in question is situated at Borteyman, a suburb of Accra. The applicant said that Captain Koda, Sowah and Muda ought to have obtained a signed writ of possession and order of possession, paste the notice of the order before they move into execution. However, the applicant is claiming that the respondents failed to follow the laid down legal procedure and forcibly moved onto the land seeking to take possession without any court order. The facts according to Nii Gbomase II are that on January 17, 2024, Odamtey filed an application for leave to issue writ of possession to recover possession of the disputed land in execution of the judgment of the court differently constituted and which was affirmed by the Supreme Court. Get the latest in African news delivered straight to your inbox By submitting above, you agree to  . Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. There was a problem processing your submission. Please try again later. The applicant said he filed an affidavit in opposition on June 26, 2024 to Odamtey's application for leave to issue writ of possession. He said the court granted Odamtey's application for leave to issue writ of possession. That being aggrieved, Nii Gbomase said he caused to be filed a notice of appeal seeking to set aside the ruling of the court. He said on the back of the appeal, he proceeded to file an application for stay of execution on July 12, 2024 and served it on Odamtey through his counsel. Nii Gbomase II alleged that even before the issuance of the writ of pension, Odamtey, aided by Captain Koda and Muda had gone onto the disputed land to allegedly take possession of the disputed land. He said despite the service of the application for stay of execution having been brought to the notice of the respondents, they are still on the land forcibly trying to take possession of the land. The applicant said the conduct of the respondents was a complete disregard of the sanctity of the judicial process. ""That I am advised by counsel and verily believe same to be true that the conduct of the respondents is not only wilful but it also constitutes an unlawful interference with the administration of justice and undermines the authority of the court,"" the application said. It said ""that the respondents' wrongful conduct is tantamount to contempt of court and warrants imposition of such appropriate punitive sanction, to serve as a deterrent to others who may dare threat the same path as the respondents.""",https://ghanaiantimes.com.gh/borteyman-land-dispute-family-asks-court-to-imprison-capt-koda-2-others/
